NAME,STATEFP,INTPTLAT,INTPTLON
Clark,20,+37.2338311,-099.8138686
Clark,21,+37.9703141,-084.1451152
Clark,53,+45.7717295,-122.4859533
Clark,55,+44.7393462,-090.6099532
Clarke,19,+41.0297257,-093.7852594
Clarke,28,+32.0453738,-088.6879756
Clarke,13,+33.9521852,-083.3671522
Clarke,51,+39.1153068,-077.9907479
Clarke,01,+31.6855211,-087.8186244
Clatsop,41,+46.0245094,-123.7050366
Clay,01,+33.2703999,-085.8635254
Clay,48,+33.7859042,-098.2129174
Clay,17,+38.7468187,-088.4823254
Clay,47,+36.5457493,-085.5457173
Clay,27,+46.8983772,-096.4949007
Clay,13,+31.6198309,-084.9925826
Clay,21,+37.1642726,-083.7154535
Clay,46,+42.9161495,-096.9804680
Clay,54,+38.4598259,-081.0818663
Clay,05,+36.3673021,-090.4187041
Clay,20,+39.3449643,-097.1688527
Clay,29,+39.3155512,-094.4215024
Clay,19,+43.0812244,-095.1498753
Clay,12,+29.9865835,-081.8650364
Clay,18,+39.3939279,-087.1158582
Clay,31,+40.5236693,-098.0508585
Clay,28,+33.6596700,-088.7824680
Clay,37,+35.0529971,-083.7522638
Clayton,13,+33.5516027,-084.4128678
Clayton,19,+42.8409849,-091.3235764
Clear Creek,08,+39.6894025,-105.6707833
Clearfield,42,+41.0068618,-078.4777237
Clearwater,16,+46.6725700,-115.6535003
Clearwater,27,+47.5758729,-095.3711170
Cleburne,05,+35.5936279,-092.0088982
Cleburne,01,+33.6719637,-085.5161261
Clermont,39,+39.0520537,-084.1494847
Cleveland,37,+35.3346302,-081.5571145
Cleveland,40,+35.2063756,-097.3230884
Cleveland,05,+33.8932006,-092.1887141
Clinch,13,+30.9176531,-082.7026143
Clinton,21,+36.7272577,-085.1360977
Clinton,19,+41.8980732,-090.5342431
Clinton,26,+42.9504550,-084.5916949
Clinton,42,+41.2395075,-077.6290090
Clinton,36,+44.7527120,-073.7056429
Clinton,18,+40.3059440,-086.4775665
Clinton,17,+38.6062953,-089.4262278
Clinton,39,+39.4166813,-083.8045826
Clinton,29,+39.6087233,-094.3958028
Cloud,20,+39.4873286,-097.6413898
Coahoma,28,+34.2303156,-090.6040104
Coal,40,+34.5828612,-096.2880390
Coamo,72,+18.1037997,-066.3575862
Cobb,13,+33.9399263,-084.5741102
Cochise,04,+31.8401287,-109.7751627
Cochran,48,+33.6084401,-102.8304490
Cocke,47,+35.9161980,-083.1192242
